created_at,screen_name,text
2019-03-25 01:25:23,TomHall,b'Didn\xe2\x80\x99t he see the movie?\n\n\xe2\x9d\x84\xef\xb8\x8f\xe2\x9d\x84\xef\xb8\x8f\xe2\x9d\x84\xef\xb8\x8f\n\n#MarchMadness #SundayFunday \n\nhttps://t.co/2O1rVFn7xP'
2019-03-25 11:04:18,TomHall,Cool
2019-03-25 11:02:25,TomHall,precision
2019-03-25 11:01:00,TomHall,Lol i don't get it
2019-03-25 09:58:16,TomHall,Once a. Mom. Always a mother. mothers love is unconditional
2019-03-25 10:00:07,TomHall,Happy mom
2019-03-25 10:05:22,TomHall,Mawwwwmmmm!
2019-03-25 10:07:08,TomHall,Truly amazing but so is the camera man
2019-03-25 07:01:14,TomHall,"Pakistan: Flights suspended, roads on lockdown following alleged firing, explosion near Multan Airport"
2019-03-25 05:02:39,TomHall,Defeat Narendra Modi else he will be PM forever: Delhi Chief Minister Arvind Kejriwal https://www.
2019-03-25 09:03:12,TomHall,Both are enjoying the time together.
2019-03-25 09:04:30,TomHall,A mom's life is a wonderful life!
2019-03-25 09:05:18,TomHall,"Hey Tom, I thought it was A Wonderful Life "
2019-03-25 09:07:40,TomHall,Adorable !
2019-03-25 09:10:42,TomHall,"Mrs Hall-“Tom, if I told you once, I told you a hundred times. “Get off my back”!"
2019-03-25 09:11:19,TomHall,Happy mother
2019-03-25 09:11:50,TomHall,You have NO idea!!!
2019-03-25 09:12:24,TomHall,"They are so much more patient than human mothers, I think. But then - they aren't trying to break a glass ceiling at work in addition to taking care of their kids"
2019-03-25 09:12:58,TomHall,Can’t eat without them. Take a bath without them. Go potty without them. But we’ll die for the little dears. A mom is a mom. Period.
2019-03-25 09:13:12,TomHall,Wow nice # everyone please cheers to Tom
2019-03-25 09:13:45,TomHall,Ohhh yeah!
2019-03-25 08:10:10,TomHall,Woo Hoo! Yal-sa!
2019-03-25 07:12:10,TomHall,"Worse still, perhaps he did see the movie and just didn't believe the science. I hear that's a thing."
